platform,model,mae_kg,rmse_kg,r2,windows,groups,folds
combined,RandomForestRegressor,0.2664962403503323,0.4622879018794748,0.5213896685214641,1338,35,5
combined,Ridge,0.3838752303451987,0.5229560910008396,0.38752627185091437,1338,35,5
