model,accuracy,macro_f1,macro_precision,macro_recall,windows,groups,folds
RandomForest,0.3415545590433483,0.370958017818907,0.3673321560015682,0.3793957879439983,1338,35,5
SVM,0.2750373692077728,0.2889721648694851,0.2813676770123926,0.30176128629548976,1338,35,5
KNN,0.3109118086696562,0.301228803587518,0.27641304919593473,0.3486871694892203,1338,35,5
LogisticRegression,0.22944693572496264,0.24790283820526163,0.24449515164086771,0.25747235878151176,1338,35,5
