flight_id,method,truth_source,ate_rmse_m,final_drift_percent,samples
payload_detection/x500v2/0.75kg/5_scenario,IMU-only strapdown,vehicle_gps_position,55.10839032106606,104.47260873570946,1672
payload_detection/x500v2/0.75kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.13815472644046567,0.08798024892315626,1671
payload_detection/x500v2/1kg/1_scenario,IMU-only strapdown,vehicle_gps_position,319.37317115740495,588.0172734468739,1616
payload_detection/x500v2/1kg/1_scenario,PX4 EKF local_position,vehicle_gps_position,0.2797010550841827,0.27891721850866813,1616
payload_detection/x500v2/1kg/2_scenario,IMU-only strapdown,vehicle_gps_position,16.834743150803263,107.66322841502412,863
payload_detection/x500v2/1kg/2_scenario,PX4 EKF local_position,vehicle_gps_position,0.13081342950375358,0.47675560432371483,862
payload_detection/x500v2/1kg/3_scenario,IMU-only strapdown,vehicle_gps_position,537.8366420137679,1155.7421757062887,2109
payload_detection/x500v2/1kg/3_scenario,PX4 EKF local_position,vehicle_gps_position,0.23106671534739626,0.618909459809356,2108
payload_detection/x500v2/1kg/4_scenario,IMU-only strapdown,vehicle_gps_position,527.1675389704566,975.2584612089927,2095
payload_detection/x500v2/1kg/4_scenario,PX4 EKF local_position,vehicle_gps_position,0.20447889790301013,0.36871303502795993,2095
payload_detection/x500v2/1kg/5_scenario,IMU-only strapdown,vehicle_gps_position,255.24324773930044,779.0405529864126,1365
payload_detection/x500v2/1kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.404256918234076,1.5059533626902915,1364
payload_detection/x650/0.5kg/1_scenario,IMU-only strapdown,vehicle_gps_position,45.834829576902834,86.95595508779716,1062
payload_detection/x650/0.5kg/1_scenario,PX4 EKF local_position,vehicle_gps_position,0.22190501003196153,0.25545848471649024,1061
payload_detection/x650/0.5kg/2_scenario,IMU-only strapdown,vehicle_gps_position,133.234571418189,344.2054969434917,1040
