platform,model,mae_kg,rmse_kg,r2,windows,groups,folds
x500v2,RandomForestRegressor,0.11664496439828888,0.20972414876588089,0.7010374594213719,564,15,5
x500v2,Ridge,0.14153472828238764,0.2101407057487419,0.6998486729976534,564,15,5
