model,accuracy,macro_f1,macro_precision,macro_recall,windows,groups,folds
RandomForest,0.9698795180722891,0.9679441878364189,0.9723534949731978,0.9643893280632412,332,15,3
SVM,0.9216867469879518,0.9135820193413556,0.9199584105564365,0.9140180688876341,332,15,3
KNN,0.9126506024096386,0.9098833866717181,0.9221530597097274,0.9028806700545831,332,15,3
LogisticRegression,0.9307228915662651,0.9244438037755944,0.9269521161826612,0.9228003011481272,332,15,3
