platform,model,mae_kg,rmse_kg,r2,windows,groups,folds
x650,RandomForestRegressor,0.3573410852713178,0.5578435083829166,0.4864609843611516,774,20,5
x650,Ridge,0.4485851864342608,0.6311914277664709,0.34253768998444434,774,20,5
